datetime,event_type
1695-05-28T11:01:13+00:00,Partial lunar eclipse
1695-11-20T19:01:22+00:00,Partial lunar eclipse
1696-05-16T23:57:36+00:00,Total lunar eclipse
1696-11-09T04:29:36+00:00,Total lunar eclipse
1697-05-06T05:42:09+00:00,Partial lunar eclipse
1697-10-29T19:25:16+00:00,Partial lunar eclipse
1698-03-26T14:05:52+00:00,Penumbral lunar eclipse
1698-04-25T06:10:49+00:00,Penumbral lunar eclipse
1698-09-20T01:17:54+00:00,Penumbral lunar eclipse
1698-10-19T11:19:47+00:00,Penumbral lunar eclipse
1699-03-15T19:23:08+00:00,Partial lunar eclipse
1699-09-09T10:36:26+00:00,Partial lunar eclipse
1700-03-05T07:36:43+00:00,Total lunar eclipse
1700-08-29T13:00:40+00:00,Total lunar eclipse
1701-02-22T23:29:12+00:00,Partial lunar eclipse
1701-08-18T13:31:33+00:00,Partial lunar eclipse
1702-01-14T01:32:52+00:00,Penumbral lunar eclipse
1702-02-12T14:20:42+00:00,Penumbral lunar eclipse
1702-07-09T09:40:49+00:00,Penumbral lunar eclipse
1702-08-07T19:19:17+00:00,Penumbral lunar eclipse
1703-01-03T06:57:22+00:00,Partial lunar eclipse
1703-06-29T01:12:03+00:00,Total lunar eclipse
1703-12-23T06:29:10+00:00,Total lunar eclipse
1704-06-17T18:25:02+00:00,Total lunar eclipse
1704-12-11T07:10:46+00:00,Partial lunar eclipse
1705-05-08T21:47:03+00:00,Penumbral lunar eclipse
1705-06-07T08:38:18+00:00,Penumbral lunar eclipse
1705-11-01T03:12:01+00:00,Penumbral lunar eclipse
1705-11-30T14:49:19+00:00,Penumbral lunar eclipse
1706-04-28T01:31:00+00:00,Partial lunar eclipse
1706-10-21T18:57:37+00:00,Partial lunar eclipse
1707-04-17T01:38:52+00:00,Total lunar eclipse
1707-10-11T10:24:15+00:00,Total lunar eclipse
1708-04-05T05:37:01+00:00,Partial lunar eclipse
1708-09-29T21:00:21+00:00,Partial lunar eclipse
1709-02-24T06:49:56+00:00,Penumbral lunar eclipse
1709-03-25T16:42:47+00:00,Penumbral lunar eclipse
1709-08-20T08:27:12+00:00,Penumbral lunar eclipse
1709-09-19T00:30:00+00:00,Penumbral lunar eclipse
1710-02-13T22:49:31+00:00,Partial lunar eclipse
1710-08-09T09:55:04+00:00,Partial lunar eclipse
1711-02-03T12:30:46+00:00,Total lunar eclipse
1711-07-29T17:49:41+00:00,Total lunar eclipse
1712-01-23T19:46:25+00:00,Partial lunar eclipse
1712-06-19T01:37:34+00:00,Penumbral lunar eclipse
1712-07-18T08:21:03+00:00,Partial lunar eclipse
1712-12-13T00:53:08+00:00,Penumbral lunar eclipse
1713-01-11T20:14:09+00:00,Penumbral lunar eclipse
1713-06-08T18:27:31+00:00,Partial lunar eclipse
1713-12-02T03:16:24+00:00,Partial lunar eclipse
1714-05-29T07:04:18+00:00,Total lunar eclipse
1714-11-21T13:01:00+00:00,Total lunar eclipse
1715-05-18T12:28:08+00:00,Partial lunar eclipse
1715-11-11T03:59:30+00:00,Partial lunar eclipse
1716-04-06T21:21:48+00:00,Penumbral lunar eclipse
1716-05-06T12:56:58+00:00,Penumbral lunar eclipse
1716-10-01T09:09:25+00:00,Penumbral lunar eclipse
1716-10-30T19:41:36+00:00,Penumbral lunar eclipse
1717-03-27T03:12:56+00:00,Partial lunar eclipse
1717-09-20T17:53:40+00:00,Partial lunar eclipse
1718-03-16T15:53:51+00:00,Total lunar eclipse
1718-09-09T19:51:44+00:00,Total lunar eclipse
1719-03-06T07:58:28+00:00,Partial lunar eclipse
1719-08-29T20:23:19+00:00,Partial lunar eclipse
1720-01-25T10:03:24+00:00,Penumbral lunar eclipse
1720-02-23T22:47:50+00:00,Penumbral lunar eclipse
1720-07-19T16:54:49+00:00,Penumbral lunar eclipse
1720-08-18T02:31:04+00:00,Penumbral lunar eclipse
1721-01-13T15:07:34+00:00,Partial lunar eclipse
1721-07-09T08:39:03+00:00,Total lunar eclipse
1722-01-02T14:32:08+00:00,Total lunar eclipse
1722-06-29T01:48:31+00:00,Total lunar eclipse
1722-12-22T15:27:46+00:00,Partial lunar eclipse
1723-05-20T04:51:10+00:00,Penumbral lunar eclipse
1723-06-18T15:44:50+00:00,Penumbral lunar eclipse
1723-11-12T11:41:50+00:00,Penumbral lunar eclipse
1723-12-11T23:25:06+00:00,Penumbral lunar eclipse
1724-05-08T08:18:59+00:00,Partial lunar eclipse
1724-11-01T03:25:24+00:00,Partial lunar eclipse
1725-04-27T08:36:25+00:00,Total lunar eclipse
1725-10-21T18:33:56+00:00,Total lunar eclipse
1726-04-16T13:05:46+00:00,Partial lunar eclipse
1726-10-11T04:39:48+00:00,Partial lunar eclipse
1727-03-07T15:15:53+00:00,Penumbral lunar eclipse
1727-04-06T00:41:08+00:00,Penumbral lunar eclipse
1727-08-31T15:11:18+00:00,Penumbral lunar eclipse
1727-09-30T07:39:26+00:00,Penumbral lunar eclipse
1728-02-25T07:23:40+00:00,Partial lunar eclipse
1728-08-19T16:47:56+00:00,Partial lunar eclipse
1729-02-13T20:56:59+00:00,Total lunar eclipse
1729-08-09T01:04:33+00:00,Total lunar eclipse
1730-02-03T03:55:00+00:00,Partial lunar eclipse
1730-07-29T15:49:01+00:00,Partial lunar eclipse
1730-12-24T08:57:19+00:00,Penumbral lunar eclipse
1731-01-23T04:13:27+00:00,Penumbral lunar eclipse
1731-06-20T01:48:58+00:00,Partial lunar eclipse
1731-12-13T11:37:21+00:00,Partial lunar eclipse
1732-06-08T14:05:27+00:00,Total lunar eclipse
1732-12-01T21:38:58+00:00,Total lunar eclipse
1733-05-28T19:07:25+00:00,Partial lunar eclipse
1733-11-21T12:40:11+00:00,Partial lunar eclipse
1734-04-18T04:31:41+00:00,Penumbral lunar eclipse
1734-05-17T19:37:28+00:00,Penumbral lunar eclipse
1734-10-12T17:07:19+00:00,Penumbral lunar eclipse
1734-11-11T04:09:48+00:00,Penumbral lunar eclipse
1735-04-07T10:56:06+00:00,Partial lunar eclipse
1735-10-02T01:18:28+00:00,Partial lunar eclipse
1736-03-27T00:05:09+00:00,Total lunar eclipse
1736-09-20T02:50:16+00:00,Total lunar eclipse
1737-03-16T16:21:28+00:00,Partial lunar eclipse
1737-09-09T03:23:28+00:00,Partial lunar eclipse
1738-02-04T18:28:17+00:00,Penumbral lunar eclipse
1738-03-06T07:06:33+00:00,Penumbral lunar eclipse
