datetime,event_type,duration_minutes,duration_seconds
1685-11-26T06:54:43+00:00,Partial solar eclipse,,
1685-12-25T17:22:35+00:00,Partial solar eclipse,,
1686-05-22T06:21:20+00:00,Annular solar eclipse,56,04
1686-11-15T21:05:00+00:00,Hybrid or annular/total solar eclipse,28,00
1687-05-11T12:42:28+00:00,Hybrid or annular/total solar eclipse,57,00
1687-11-05T05:22:24+00:00,Annular solar eclipse,49,04
1688-04-30T01:57:34+00:00,Total solar eclipse,40,03
1688-10-24T06:46:41+00:00,Annular solar eclipse,49,06
1689-03-21T10:06:42+00:00,Partial solar eclipse,,
1689-04-19T18:39:23+00:00,Partial solar eclipse,,
1689-09-13T15:39:22+00:00,Partial solar eclipse,,
1689-10-13T06:40:02+00:00,Partial solar eclipse,,
1690-03-10T22:56:00+00:00,Annular solar eclipse,42,00
1690-09-03T01:17:47+00:00,Total solar eclipse,13,02
1691-02-28T04:37:41+00:00,Annular solar eclipse,40,06
1691-08-23T16:45:57+00:00,Total solar eclipse,01,06
1692-02-17T04:26:56+00:00,Annular solar eclipse,36,08
1692-08-12T09:41:05+00:00,Total solar eclipse,10,04
1693-01-06T13:55:33+00:00,Partial solar eclipse,,
1693-02-05T05:27:09+00:00,Partial solar eclipse,,
1693-07-03T12:33:52+00:00,Partial solar eclipse,,
1693-12-27T01:10:50+00:00,Total solar eclipse,39,01
1694-06-22T16:08:45+00:00,Annular solar eclipse,27,05
1694-12-16T16:33:11+00:00,Total solar eclipse,22,04
1695-06-11T16:44:24+00:00,Annular solar eclipse,13,06
1695-12-06T07:23:18+00:00,Total solar eclipse,16,01
1696-05-01T11:15:19+00:00,Partial solar eclipse,,
1696-05-30T21:41:23+00:00,Partial solar eclipse,,
1696-10-26T01:17:07+00:00,Partial solar eclipse,,
1696-11-24T17:10:41+00:00,Partial solar eclipse,,
1697-04-21T01:49:22+00:00,Total solar eclipse,18,04
1697-10-15T01:33:41+00:00,Annular solar eclipse,12,07
1698-04-10T18:34:26+00:00,Total solar eclipse,36,05
1698-10-04T02:31:25+00:00,Annular solar eclipse,10,05
1699-03-31T08:48:45+00:00,Hybrid or annular/total solar eclipse,32,00
1699-09-23T10:16:12+00:00,Hybrid or annular/total solar eclipse,49,00
1700-02-18T23:49:35+00:00,Partial solar eclipse,,
1700-08-14T16:59:06+00:00,Partial solar eclipse,,
1700-09-13T00:34:18+00:00,Partial solar eclipse,,
1701-02-07T23:04:53+00:00,Annular solar eclipse,55,09
1701-08-04T09:31:44+00:00,Total solar eclipse,06,05
1702-01-28T01:37:10+00:00,Annular solar eclipse,14,04
